CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;31.4
INFLOW;PRECIPITATION;Snowfall;0
INFLOW;PRECIPITATION;Precipitation recycling;1.65
INFLOW;SURFACE WATER;Main riverstem;0
INFLOW;SURFACE WATER;Tributaries;0
INFLOW;SURFACE WATER;Utilized surface water;0
INFLOW;SURFACE WATER;Flood;0
INFLOW;GROUNDWATER;Natural;0
INFLOW;GROUNDWATER;Utilized;0
INFLOW;OTHER;Desalinized;0
STORAGE;CHANGE;Surface storage;4.6
STORAGE;CHANGE;Storage in sinks;0
OUTFLOW;ET LANDSCAPE;Protected;4.9
OUTFLOW;ET LANDSCAPE;Utilized;18.3
OUTFLOW;ET LANDSCAPE;Modified;7.1
OUTFLOW;ET LANDSCAPE;Managed;0.6
OUTFLOW;ET UTILIZED FLOW;Protected;0.9
OUTFLOW;ET UTILIZED FLOW;Utilized;3.4
OUTFLOW;ET UTILIZED FLOW;Modified;1.4
OUTFLOW;ET UTILIZED FLOW;Managed;0.3
OUTFLOW;ET INCREMENTAL;Manmade;1.7
OUTFLOW;ET INCREMENTAL;Natural;4.3
OUTFLOW;SURFACE WATER;Main riverstem;0.6
OUTFLOW;SURFACE WATER;Tributaries;0
OUTFLOW;SURFACE WATER;Utilized surface water;0
OUTFLOW;SURFACE WATER;Flood;0
OUTFLOW;SURFACE WATER;Interbasin transfer;0
OUTFLOW;GROUNDWATER;Natural;0
OUTFLOW;GROUNDWATER;Utilized;0
OUTFLOW;OTHER;Non-utilizable;0
OUTFLOW;OTHER;Other;0
OUTFLOW;RESERVED;Commited;0
OUTFLOW;RESERVED;Navigational;0
OUTFLOW;RESERVED;Environmental;0
