LAND_USE;CLASS;TRANSPIRATION;WATER;SOIL;INTERCEPTION;AGRICULTURE;ENVIRONMENT;ECONOMY;ENERGY;LEISURE;NON_BENEFICIAL
PROTECTED;Forest;33;0;10.2;4;0;37.6;0;0;6.6;3
PROTECTED;Shrubland;105.8;0;56.7;12.1;0;140.6;0;0;24.8;9.2
PROTECTED;Natural grasslands;4.1;0;1.2;0.5;0;4.6;0;0;0.8;0.4
PROTECTED;Natural water bodies;0.8;4.1;0;0.2;0;4.2;0;0;0.7;0.2
PROTECTED;Wetlands;19.5;0;12.4;1.7;0;27.5;0;0;4.8;1.3
PROTECTED;Glaciers;0;0;0;0;0;0;0;0;0;0
PROTECTED;Others;20.3;0;7.6;3.1;0;24.3;0;0;4.3;2.4
UTILIZED;Forest;158.1;0;70.5;20;9;162.1;0;0;9;68.5
UTILIZED;Shrubland;367.8;0;289.7;40.9;35;373.5;2.8;21.6;15.6;249.9
UTILIZED;Natural grasslands;8.3;0;1.8;1.2;5.4;2.7;0;0;0.9;2.3
UTILIZED;Natural water bodies;3.4;105.3;0;6.7;13.8;22.2;2.8;0;16.3;60.3
UTILIZED;Wetlands;38.3;0;22.8;4;2.5;40.5;0;2.5;5.1;14.5
UTILIZED;Others;28.2;0;44.4;1.5;6.2;34.1;0;0;0.7;33.1
MODIFIED;Rainfed crops;62.1;0;35.8;6.4;64.8;0;7.3;0;0.3;31.9
MODIFIED;Forest plantations;34;0;8.4;4.7;33.4;0;3.7;0;0;10
MODIFIED;Settlements;0;0;0;0;0;0;0;0;0;0
MODIFIED;Others;113;0;19.9;14.6;109.3;0;12.1;0;0;26.1
MANAGED CONVENTIONAL;Irrigated crops;22.5;0;15.2;0.4;23.4;0;2.6;0;0.2;11.9
MANAGED CONVENTIONAL;Managed water bodies;0.1;7.1;0;0;2.5;0.4;2.2;1.4;0.6;0.1
MANAGED CONVENTIONAL;Residential;0.4;0;0.3;0.3;0;0;1;0;0;0
MANAGED CONVENTIONAL;Industry;0.1;0;0;0;0;0;0.1;0;0;0
MANAGED CONVENTIONAL;Others;5.3;0;1.4;0.6;0;3.7;0.9;0;1.5;1.2
MANAGED NON_CONVENTIONAL;Indoor domestic;0;0;0.1;0;0;0;0.1;0;0;0
MANAGED NON_CONVENTIONAL;Indoor industry;0;0;0.1;0;0;0;0.1;0;0;0
MANAGED NON_CONVENTIONAL;Greenhouses;0.1;0;0;0;0.1;0;0;0;0;0
MANAGED NON_CONVENTIONAL;Livestock and husbandry;0;0;0.1;0;0;0;0.1;0;0;0
MANAGED NON_CONVENTIONAL;Power and energy;0;0;0.1;0;0;0;0;0.1;0;0
MANAGED NON_CONVENTIONAL;Others;0;0;0;0;0;0;0;0;0;0
