LANDUSE_TYPE;SUPPLY_GROUNDWATER;NON_RECOVERABLE_GROUNDWATER;SUPPLY_SURFACEWATER;NON_CONVENTIONAL_ET;RECOVERABLE_GROUNDWATER;CONSUMED_OTHER;CONSUMED_ET;DEMAND;RECOVERABLE_SURFACEWATER;NON_RECOVERABLE_SURFACEWATER
Wetlands;0.26404366887414804;0.0;5.0168284566831209;0.0;0.22443711725088542;0.0;0.79213085012556284;2.3047707071093999;4.264304154576557;0.0
Greenhouses;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Rainfed Crops;0.045731614272845666;0.0;0.0024069271416556088;0.0;0.0;0.0;0.048138541976322044;0.079688064853609575;0.0;0.0
Residential;0.00072092433052330161;0.0004711901384413334;0.0044349236916441537;0.0;0.0;0.0;0.003811084508839593;0.0072605264633011143;0.0;0.00087357337919339738
Natural Grasslands;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Forests;2.6768090312538599;0.0;0.013451301301396457;0.0;0.0;0.0;2.6902603197083339;4.7142057095398018;0.0;0.0
Shrubland;0.0013301550087318852;0.0;0.00014779500723870222;0.0;0.0;0.0;0.0014779500513287872;0.0027613227373127287;0.0;0.0
Managed water bodies;4.6676253693281016e-06;4.0809168415969839e-07;8.8684858961302686e-05;0.0;2.3924834966751507e-06;0.0;3.7340993702395744e-05;0.00034025256350298568;4.5457174852643583e-05;7.7537402248038006e-06
Other (Non-Manmade);0.00049479107701141641;0.0;0.00049479107701141641;0.0;0.00029687464188326136;0.0;0.000395832863645222;0.00062288546904144099;0.00029687464188326136;0.0
Aquaculture;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Forest Plantations;1.1937666206146536;0.0;0.0059988270765042118;0.0;0.0;0.0;1.1997654420292445;1.9798342438486345;0.0;0.0
Irrigated crops;0.00021047062087892307;0.0056885325749343549;0.39017150331061229;0.0;0.033349663265260579;0.0;0.31230558344255616;0.49645725045192551;0.033349663265260579;0.0056885325749343549
Other;0.00025667427173541751;0.00016940268009523873;0.00025667427173541751;0.0;0.0;0.0;0.00017454318139092164;0.00030353227734428;0.0;0.00016940268009523873
Natural Water Bodies;0.03896108540279819;0.0;0.74026043705331879;0.0;0.033116922379111721;0.0;0.11688323319762235;0.90371440703063199;0.62922136794506445;0.0
Industry;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
Power and Energy;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
