TYPE;SUBTYPE;VALUE
NON_LU_SPECIFIC;CapillaryRise;3
NON_LU_SPECIFIC;ManagedAquiferRecharge;6
NON_LU_SPECIFIC;Baseflow;4
NON_LU_SPECIFIC;GWInflow;5
NON_LU_SPECIFIC;GWOutflow;7
Forests;VERTICAL_RECHARGE;8
Forests;VERTICAL_GROUNDWATER_WITHDRAWALS;4
Forests;RETURN_FLOW_SURFACEWATER;1
Shrubland;VERTICAL_RECHARGE;9
Shrubland;VERTICAL_GROUNDWATER_WITHDRAWALS;7
Shrubland;RETURN_FLOW_SURFACEWATER;5
Natural Grasslands;VERTICAL_RECHARGE;4
Natural Grasslands;VERTICAL_GROUNDWATER_WITHDRAWALS;6
Natural Grasslands;RETURN_FLOW_SURFACEWATER;7
Natural Water Bodies;VERTICAL_RECHARGE;3
Wetlands;VERTICAL_RECHARGE;4
Wetlands;VERTICAL_GROUNDWATER_WITHDRAWALS;8
Wetlands;RETURN_FLOW_SURFACEWATER;4
Glaciers;VERTICAL_RECHARGE;7
Rainfed Crops;VERTICAL_RECHARGE;1
Rainfed Crops;VERTICAL_GROUNDWATER_WITHDRAWALS;2
Rainfed Crops;RETURN_FLOW_SURFACEWATER;3
Forest Plantations;VERTICAL_RECHARGE;4
Forest Plantations;VERTICAL_GROUNDWATER_WITHDRAWALS;6
Forest Plantations;RETURN_FLOW_SURFACEWATER;7
Irrigated crops;VERTICAL_RECHARGE;9
Irrigated crops;VERTICAL_GROUNDWATER_WITHDRAWALS;4
Irrigated crops;RETURN_FLOW_SURFACEWATER;1
Irrigated crops;RETURN_FLOW_GROUNDWATER;4
Managed water bodies;VERTICAL_RECHARGE;4
Residential;VERTICAL_RECHARGE;4
Residential;VERTICAL_GROUNDWATER_WITHDRAWALS;6
Residential;RETURN_FLOW_GROUNDWATER;4
Residential;RETURN_FLOW_SURFACEWATER;5
Industry;VERTICAL_RECHARGE;6
Industry;VERTICAL_GROUNDWATER_WITHDRAWALS;4
Industry;RETURN_FLOW_GROUNDWATER;7
Industry;RETURN_FLOW_SURFACEWATER;8
Other (Non-Manmade);VERTICAL_RECHARGE;4
Other (Non-Manmade);VERTICAL_GROUNDWATER_WITHDRAWALS;4
Other (Non-Manmade);RETURN_FLOW_SURFACEWATER;5
Aquaculture;VERTICAL_GROUNDWATER_WITHDRAWALS;6
Aquaculture;RETURN_FLOW_GROUNDWATER;1
Aquaculture;RETURN_FLOW_SURFACEWATER;4
Greenhouses;VERTICAL_GROUNDWATER_WITHDRAWALS;2
Greenhouses;RETURN_FLOW_GROUNDWATER;3
Greenhouses;RETURN_FLOW_SURFACEWATER;4
Other;VERTICAL_GROUNDWATER_WITHDRAWALS;1
Other;RETURN_FLOW_GROUNDWATER;4
Other;RETURN_FLOW_SURFACEWATER;7
